# name	cuisine_slug	confidence
# REVIEW THIS before --emit-sql. Delete or correct any line.
Chopshop Arizona, Llc	null	low
Chris & Co. Movers Austin	null	low
Chris Dickerson	null	low
Christies Sports Bar & Deli	sports-bar	high
Christina's Boutique And Bistro	null	low
Christinas Fine Mexican Food	mexican	high
Christopher Management Co Ltd	null	low
Chubby Cattle Dallas Llc	chinese	low
Chuluteca	null	low
Chuon-Chuon Vietnamese Coffee & Banh Mi	vietnamese	high
Church's Fried Chicken	chicken	high
Chutney's & More	indian	medium
Chuys Restaurant Denton Texas	tex-mex	medium
Cici Enterprises, Lp	null	low
Cigar Shop & More	null	low
Cindy And Ron Haddock Dining Room	null	low
Cinergy Entertainment Group, Inc.	null	low
Cinque Technologies Llc	null	low
Circle Grill	null	low
Circle M Partners Llc	null	low
Cisneros Restaurants Inc	null	low
Citadel Behavioral Health Services Inc	null	low
Citizen Restaurant Group Inc	null	low
City Credit Union	null	low
City Hall Bistro	null	low
City Kitchen	null	low
City One Stop	null	low
CityLine DFW	null	low
Ciudad Restaurant	mexican	low
Cj's Cafe	cafe	medium
Ck Support Services Inc Dba Covenant Business Solutions	null	low
Ckc Commercial Service Llc	null	low
Claremont	null	low
Clarita Tacos & Gorditas	tacos	high
Classe Ghost Kitchen	null	low
Clawson Services Inc	null	low
Clay Pit	indian	medium
Claypot African Restaurant & Bar	west-african	medium
Clear Fork Grill	null	low
Clements Nut Co	null	low
Clf Creative Llc	null	low
Cliff Cafe	cafe	medium
Clifford Chiro, Pllc	null	low
Cliff’s Candy Store	dessert	medium
Clifton C. Johnson Ii Management Co., Llc.	null	low
Cloud 9 Vapor Llc	null	low
Cloud Dreams Llc	null	low
Cloud Nine Cafe	cafe	medium
Cloudy With A Chance of Snowballs & Treats	dessert	high
Cluckers Fried Chicken	chicken	high
Cluckin Great	chicken	medium
Cmrg-sd Investments, Lp	null	low
CoCo Ichibanya	japanese	high
Coca-Cola	null	low
Coca-Cola Company	null	low
Coca-Cola Freestyle	null	low
Cocina Fresca	mexican	medium
Cocina GROUP - Dallas	mexican	low
Cocina Italiano	italian-classic	high
Coco Loco Fruteria Y Neveria	mexican	medium
Coco Shrimp	seafood-classic	medium
Coffee Cup Cafe	coffee	medium
Cole Mountain Inc	null	low
Colleyville Tx Sdi Ltd	null	low
Collin County Adventure Camp Dining Halll	null	low
Collins Bar And Grill	bar	medium
Collision Source Llc	null	low
Colony Foods Llc	null	high
Colters Bbq	barbecue-classic	high
Comanche Outlaw BBQ	barbecue-classic	high
Comfort Sleep Inn Inc	null	high
ComidasRx	null	low
Comiendo Feliz	latin-american	low
Commonwealth Entertainment Group	null	high
Communication Sales Service	null	high
Community Bbq And Grill	barbecue-classic	high
Community Insurance Advisors	null	high
Como En Casa	latin-american	medium
Comprehensive Communication Services Ll	null	high
Concrete Cowboy	bar	low
Coneheads Snow Cones	dessert	medium
ConkyJoe	null	high
Connie's Louisiana Kitchen	cajun-creole	high
Conquer Industries, Inc	null	high
Consilient Restaurants	null	high
Consolidated Restaurant Operations Inc.	null	high
Container On Wheels	null	medium
Continental Foods Inc	null	medium
Coo International,llc	null	high
Cool Berry Frozen Yogurt at UTA	ice-cream	high
Cooleys4u	null	high
Cooper Bergman	null	high
Coppell L.l.c	null	high
Coppell Sports Garden North Inc	sports-bar	low
Copper & Vine Tasting Room	wine-bar	high
Copper Creek Restaurant	null	high
Corby's Grill	null	medium
Core F&b Llc	null	high
Core Fb, Llc	null	high
Cork & Keg	bar	medium
Corner Barkery	bakery	low
Corner Connection Management, Llc	null	high
Cornerstone-Lindsay	null	high
Corona Air Services Llc	null	high
Corral Grill	null	medium
Corsicana Restaurant Services, Llc	null	high
Cosmo Rouge Bistro & Lounge	null	low
Cost Plus World Markets 80	null	high
Costa Victoria Mariscos del Pacífico	mexican	high
Cott Beverages	null	high
Cotton Belt BBQ Co.	barbecue-classic	high
Country Bliss Nutrition	juice-smoothie	low
Country Boyz Bbq	barbecue-classic	high
Country Kitchen	comfort-food	low
Country Pride	null	medium
Cousin's Store #1 - Mccart Llc	null	medium
Cousin's Store #2 - Cityview Llc	null	medium
Cousin's Store #3 - Crowley Llc	null	medium
Covenant Holdings Group	null	high
Cowboy Chow	southern	low
Cowboy Cut-Steaks To Go	steakhouse	high
Cowboy Sno Shaved Ice	dessert	medium
Cowboy Vapor Inc	null	high
Cowboy's Beer Barn	bar	medium
Cowboys Club A Dfw	null	medium
Cowboys Restaurant Gainesville	null	medium
Cowtown Concepts Llc	null	high
Cox 407 Bbq Llc	barbecue-classic	high
Cpah, Pllc	null	high
Crab Baby	crab-house	high
Crab Nation Arlington	crab-house	high
Crab Station - Walnut, Dallas	crab-house	high
Crab Trap 214	crab-house	high
Cracker Barrel	southern	medium
Crackin Crab Kitchen Inc	crab-house	high
Craft Brew Guild of Grapevine	brewery	medium
CraftWay Kitchen Southlake	null	medium
Crafted Bar Concepts, Llc	bar	medium
Craftway Kitchen Frisco	null	medium
Crave	null	medium
Crave Cafe & Bar	cafe	medium
Crave Café	cafe	medium
Crazy Brothers Breakfast, Lunch, And Dinner	breakfast	medium
Crazy Cowboy Restaurant And Bar Llc	null	low
Crazy Eyes Holdings, Llc	null	high
Crdental,pllc	null	high
Cream Rolls International, Llc	ice-cream	medium
Creating Roots LLC	null	high
Crepas Paris	french	high
Crepes & Stuff	french	medium
Crepes Bistro	french	medium
Cresa Dallas/ft. Worth	null	high
Crescer Designs Llc	null	high
Crest Foods, Inc. Dba Nestle Toll House Cafe By Chip	dessert	medium
Cripple Curts BBQ & Western Fixins	barbecue-classic	high
Cristina's Fine Mexican Restaurant - Plano	mexican	high
Cro Development I Lp	null	high
Crown Tacos	tacos	high
Crowns BBQ & Sports Grill	barbecue-classic	high
Cru Legacy Lp	wine-bar	low
Crumbzz	bakery	low
Csi Drive-thru Communications. Llc	null	high
Cswm Solutions Incorporated Dba Austin P	null	high
Ctb, Llc	null	high
Ctc Plano Road, Llc	null	high
Ctc Spring Valley Llc	null	high
Cuco's Restaurant Group Llc Dba Cuco's Sandwich Shop	deli-sandwiches	high
Culinary Art Catering	null	medium
Culinary Community Kitchen	null	medium
Culinary Kitchen & Beyond	null	medium
Cuno Bar & Grill	bar	low
Curries N Cravings	indian	high
Curry Me Out	indian	medium
CurryTini	indian	medium
Currywood Kitchen	indian	medium
Custom Home Accents Llc	null	high
Cutie Pies Llp	bakery	medium
Cuzco Latin Cuisine	peruvian	medium
Cv Alliance, Llc	null	high
Cvcc Of Texas Llc Dba Costa Vida Fresh Mexican Grill	mexican	high
Cw Kit, Llc	null	high
Cycling Center Dallas	null	high
Cypress Production Inc	null	high
Cypress waters	null	high
Czechxan Bar B Q	barbecue-classic	high
Cơm Gà Houston - Arlington	vietnamese	high
D & C  Mini pancakes	breakfast	medium
D & D Service	null	high
D King Eatz	null	medium
D Max Euless Llc	null	high
D&a Easton Investments Llc	null	high
D'Fried	null	low
D'Xquisite Cusine & lounge	null	medium
D7933 Kaufman Inc	null	high
DALES cafe	cafe	low
DALLAS TACO COMPANY	tacos	high
DFW Airport Travel Lounge	null	medium
DFW Live Grill	null	low
DFW Restaurant Week	null	high
DL Rogers Corp	null	low
DNA Daiquiris	bar	medium
Da Birria Bar	mexican	high
Da Nang Quan Restaurant	vietnamese	high
Da nickel house	null	medium
Da'cat	null	low
Daddy's Cafe Restaurant	cafe	low
Daddyz’ Kitchen	null	medium
Dafricana African Supermarket and Bakery Restaurant Denton	west-african	medium
Dahlia Bar & Bistro	bar	low
Daily Perk Cafe	coffee	medium
Daiquiri Dash	bar	medium
Daiquiri Shoppe	bar	medium
Daj Restaurant Fw Ltd	null	high
Dallas	null	high
Dallas Cookies & More	bakery	medium
Dallas County Community College District	null	high
Dallas Cowboys Stadium	null	high
Dallas Freightliner-Western Star	null	high
Dallas Grill	null	medium
Dallas Kosher Pizza	pizza-classic	high
Dallas Pit Bbq	barbecue-classic	high
Dallas Pizza Company	pizza-classic	high
Dallas Prep Kitchen Llc	null	medium
Dallas Restaurant Management Corporation	null	high
Dallas Restaurants	null	high
Dallas Sd&b Llc	null	high
Dallas Smoked Fusion	barbecue-classic	medium
Dallas Tortilla & Tamale Factory	mexican	high
Dallas Underground Walkways	null	high
Dallas chaat House	indian	high
Daltons Corner Bar And Grill Llc	bar	medium
Dami Korean Restaurant	korean	high
Dan Friends Inc	null	high
Dana Imports	null	high
Danie Choco Foods & Cuisine	null	low
Daniel A. Clearfield, D.o., M.s., Pllc	null	high
Daniel Hebert Inc Dba Complete The Chain	null	high
Daniela cake designer	bakery	high
Daniele Developments Llc	null	high
Danone Co	null	high
Daqs 2 Geaux	bar	low
Darsho Investments, Llc	null	high
Datshiigood seafood&grill	seafood-classic	high
David & John Inc Dba Wok N Go	chinese	medium
David Johnson Insurance Agency Inc Dba Alvarez &amp Johnson	null	high
Davis-rod Llc.dba Taco Casa	tacos	high
Daybreak Group	null	high
Dayne’s Midnight Munchies	null	medium
Dde & Associates, Llc	null	high
De La Costa Restaurant	latin-american	low
Dea Restaurant Dallas	null	high
Dealano Investments Llc	null	high
Debbiesmith	null	high
Dee Lincoln Steak and Burger Bar	steakhouse	high
Deja Bru Cafe Llc	cafe	medium
Del Boca Brickell Lp	null	low
Del Frisco's Restaurant Group	steakhouse	medium
Deli Queen	deli-sandwiches	high
Delia's	null	low
Delicia Restaurant	null	low
Delicious Chicken And Fish Ltd Co	chicken	medium
Delish Bubble Tea	tea-house	high
Delish Hospitality	null	high
Delish Hospitality Inc	null	high
Dell Cafe	cafe	medium
Delta Sky Club	null	medium
Deluxe Market & Grill	null	low
Delvestment Properties Inc	null	high
Denar Llc	null	high
Dental Flossophy, P.a	null	high
Denton 360 Gyro Llc	greek	medium
Denton County Independent Hmbg	burgers	medium
Depalma Hotel Corporation	null	high
Depalma Hotels & Resorts	null	high
Dera Kitchen	pakistani	low
Derby Restaurant Dallas	null	low
Dervani, Inc	null	high
Desert Racer	null	low
Desi District - Frisco, TX	indian	medium
Desi Ginger Indian Cuisine	indian	high
Desi Rasoi	indian	high
Desi'oso	indian	low
Dessert Unlimited	dessert	high
Deviled Egg Co.	null	low
Dfrg Management, Llc	null	high
Dfw Ezy Trades	null	high
Dfw Hiccups Llc	null	high
Dfw Laser Lipo	null	high
Dfw Pop Restaurants Llc	null	high
Dfw Travel Lounge Near C6	null	high
Dfw Vapor &amp Smoke Llc	null	high
Dfw warehousing	null	high
Dglam Investments, Llc	null	high
Dhanmaan Corp	null	high
Dharani	indian	low
Dhido nepali restaurant & 1 Stop Meat Shop	indian	low
Diamond Jubilee Blessings Inc	null	high
Dickerson Financial Group Inc Dba Tg Insurance Or Texas Gian	null	high
Dickey's Capital Group Inc	null	low
Dickeys Bbq Greenvi	barbecue-classic	high
Dicks Last Resort	bar	low
Dieval Cleaning Services Inc	null	high
Dildy & Associates Inc	null	high
Dillas Quesadillas	mexican	high
Dimples' Fries & Wings	wings	high
Dining Dollars	null	high
Dining at the Music Hall at Fair Park	null	high
Dire Dawa Cafe & Restaurant	ethiopian	high
Direct Art Llc	null	high
Dirk's Dockside Bar & Grill	seafood-classic	low
District Dallas	null	low
Dithyas Indian Kitchen	indian	high
Dive Hospitality Group Llc	null	low
Dive In Swim Club	null	low
Diwa Kitchen Co.	null	low
Dj Hsin Li Inc	null	low
Djg Dfw 3908 Cedar Spring Road Llc	null	low
Dl Rogers Companies	null	low
Dmb Enterprises Llc	null	low
Dmd Elite, Llc Dba United Construction O R Allsports Etc	null	low
Dmya Investments, Llc	null	low
Doce Mesas	mexican	low
Dockside Grill	seafood-classic	low
Dolce Oliva Cafe	italian-classic	medium
Dolce Paradiso	dessert	low
Dollar Outlet Corporation	null	low
Domingo	null	low
Dominguez Pete Enterprises	null	low
Don Camillo Italian Cuisine	italian-classic	high
Don Chabe Steak	steakhouse	medium
Don Chicken	chicken	medium
Don Hilaro's Mexican Food	mexican	high
Don Jorge's Cocina	mexican	medium
Don Leon Tacos	tacos	high
Don Pablo's Mexican Kitchen	mexican	high
Don Pedro Restaurant	mexican	low
Don Regio Taqueria	tacos	high
Don't Tell Supper Club	new-american	low
Donut Shop	donuts	high
Dope Spice	null	low
Dos Aces Mexican Food	mexican	high
Dos Charros Tex Mex Restaurant	tex-mex	high
Dos Joses Llc	null	low
Doskocil Mfg Co Inc	null	low
Dossani Holdings Ar, Llc	null	low
Doug and Broskis	null	low
Douglas Bar And Grill	bar	low
Dover's Grille	null	low
Downtown Mckinney Association	null	low
Dpp-cth Limited Liability Company	null	low
Dr Badillo Enterprises Llc	null	low
Dr Drywall Residential Inc	null	low
Dr Pepper	null	low
Dr. David Keelen	null	low
Dr. Ned E. Beiser Professional Association	null	low
Drakes Studio 21	null	low
Drakes Yoke	null	low
Drg Concepts	null	low
Dry Hole Charlie's	bar	low
Ds Kitchen Group Llc	null	low
Ds Restaurant Ventures, Llc	null	low
Dsb&g Inc	null	low
Dsmj Enterprises, Llc	null	low
Dub's Place	null	low
Duchess at The Nobleman	null	low
Dumpling Queen	chinese	medium
Dunes Mediterranean Grill	mediterranean	high
Dunn Rite Cafe	cafe	medium
Durango burger	burgers	high
Durkin's Pizza, L.p	pizza-classic	high
Durning House Bed & Breakfast	breakfast	low
Dwell Church	null	high
Dying About Real Bovine Special	null	low
Dynamaxx International	null	high
Dynamaxx International, Ltd	null	high
E Flo Restaurant Group	null	high
E.s. Justice, Llc	null	high
EL ENCANTO LA CANTINA	mexican	medium
ELJ Courier Services LLC. 	null	high
EME Transport LLC 	null	high
EMI Industries	null	high
Eagle Belt, Llc.	null	high
Eagle Landing	null	high
Eagle Pallet, Llc	null	high
Eagle Pride Financial Inc	null	high
Earl's Restaurant Legacy West Tx Inc	null	medium
Earleybird Investments Llc	null	high
Earn Sum & Joy	null	low
East Buffet	buffet	medium
East Hampton Llc	null	high
East Tejun Catering Co.	null	low
East Texas Patrol	null	high
Eastern Payroll Llc	null	high
Easy Freshly	null	low
Eat Llc	null	high
Eatatsonic	fast-food	medium
Eay Llc	null	high
Ebarb Craft Sausage	null	low
Ebenezer Restaurant	null	low
Ebg Llc	null	high
Ecco Lounge	bar	low
Echo Food Group	null	high
Editable Designs By Julia	null	medium
Education Career Alternative Program	null	high
Ef Corporation	null	high
Effies Home Cookin	comfort-food	medium
Egg Haus Cafe - Aubrey	breakfast	medium
Egg Roll Inn	chinese	medium
Eggpan Llc	breakfast	low
Ehsan Aman & Sons Llc	null	medium
Ehsan Burger	burgers	high
Eighteen Sixty	null	medium
Eighty Twenty Hospitality	null	high
El Antojito	mexican	medium
El Antojo Fruteria	mexican	medium
El Arca De Noe	latin-american	low
El Cantón Tacos Y Pupusas	latin-american	medium
El Chico	tex-mex	medium
El Chico Restaurants Inc.	tex-mex	medium
El Chifrijo Puerto Rican Fusion	caribbean	medium
El Comalito Express	mexican	medium
El Farolito	mexican	medium
El Fenix Corporation	mexican	medium
El Fenix Mexican Restaurant	mexican	high
El Fenix Mexican Restaurants - Dallas Locations- Lemmon-Inwood	mexican	high
El Guerrerense	mexican	medium
El Jefe's Sportsbar & Restaurant	sports-bar	high
El Kalentano Villares	latin-american	low
El Limón antojitos botanas y shave ice snow cones	mexican	high
El Manantial	null	low
El OJON Elotes y Micheladas	mexican	high
El Oaxaqueno	mexican	high
El Original	null	low
El Pariente De Chihuahua	mexican	medium
El Paso Cantina	mexican	medium
El Peñon Restaurante Salvadoreño	latin-american	high
El Pollo Loco Restrnt	mexican	high
El Pueblo Mexican Cafe	mexican	high
El Rancho Mexican Restaurant	mexican	high
El Ranchon Restaurant	mexican	medium
El Rincon Del Chef	latin-american	low
El Rinconsito Latino Meat Market Llc	latin-american	medium
El Rinconsito de Salud	juice-smoothie	low
El SAZON De PA	latin-american	low
El Sazon de Michoacan	mexican	high
El Taco Compartido	tacos	high
El Tacolote	tacos	high
El Tacomiendo	tacos	high
El Tiburon #2	seafood-classic	medium
El Trancazo Taqueria	tacos	high
El buey de la barranca	mexican	medium
El chilenito  po	latin-american	low
El santo kamaron	seafood-classic	medium
El viejon Eloteria	mexican	high
Elaine's Kitchen	null	low
Elephant Bar	bar	medium
Elevation Lifestyle	null	low
Eli Home Health Services Inc	null	high
Elitch's Kiddie Land CafÉ	cafe	medium
Eliza's Fruteria	juice-smoothie	medium
Elizandro’s Mexican Food	mexican	high
Ella B's Express - Ennis TX	null	low
Ellerbe Fine Foods	null	low
Elliott's Ice House	null	low
Elliott's Shave Ice	dessert	medium
Elmerendero restaurantes  tx	latin-american	low
Elotes Contreras	mexican	high
Elotes El Potosino	mexican	high
Elotes Juniors	mexican	high
Elotes La Tia	mexican	high
Elotes Mendoza	mexican	high
Elotes Mi Lupita	mexican	high
Elotes la paisana	mexican	high
Elv8 Luxe Llc	null	high
Embizdays, Inc. Dba Jk Donuts	donuts	high
Emerald Bakery Llc	bakery	high
Emk 360 Corporation	null	high
Empanadas - Arepas 3F	latin-american	high
Empowered Finances Llc	null	high
Emultec Holdings, Llc Dba Emultec Industrial Products Or Emu	null	high
Enchanting Aesthetics	null	high
Enchiladas Ole' Nrh	mexican	high
Endzone Bar And Grill	sports-bar	medium
Endzone Sports Bar And Grill	sports-bar	high
Energy Efficient Measures, Llc	null	high
Energy Healing Clinic Llc	null	high
Enjoymint Campbell Llc	null	medium
Eno's Pizza Tavern 2, Llc	pizza-classic	high
Enp Franchise	null	high
Epi Breads Dallas	bakery	high
Epicentre Restaurant Ventures Lp	null	high
Equipment Preference, Inc.	null	high
Erbert And Gerberts	deli-sandwiches	medium
Erie Management Incorporated	null	high
Esb World Inc	null	high
Eskimo HUT	null	low
Espresso Tre	coffee	high
Estp, Inc. Dba Techrack	null	high
Eternal Success Corporation	null	high
Ethel Janes - BENDT Whiskey Kitchen	bar	low
Europasian Auto Pro's	null	high
Everest Alliance Incorporated	null	high
Everest Momo	indian	low
Evergreen Super Buffet	buffet	high
Exactitude Leadership Concepts	null	high
Exactt Auto Llc	null	high
Executive Restaurant Search	null	high
Exel - Owens Corning	null	high
Exito Saludable	null	medium
Exotic Grill African Cuisine	west-african	low
Express Grill Texas	null	medium
Exxclusive Taste Dallas LLC	null	medium
Eym Cafe Of Texas Llc	cafe	medium
Ez-way Restaurant	null	high
F&f Japanese Grill	japanese	high
F1 Smokehouse - University	smokehouse	high
F5 Frostbites Freeze-Dried Treats	dessert	medium
FINE ASIAN - Murphy	pan-asian	high
FTW Crawfish Co.	cajun-creole	medium
Fa Sheezy Restaurant Group	null	high
Fabulous 50’s	diner	medium
Faces By Maryanna	null	high
Facials Plus	null	high
Faithful Five Management Pllc	null	high
Fajita Brothers	mexican	medium
Falafel Maker	middle-eastern	high
Fame Bar & Grill	bar	medium
Family Barbeque Restaurant - Halal	halal	medium
Family Cafeteria Of The Southwest Inc	null	medium
Famous Potatoes	null	low
Fang Fang Chinese Cafe	chinese	high
Fantasma Kitchens	null	high
Fantastic Asian Restaurant Llc	pan-asian	medium
Fare Enterprise, Inc. Dba Yogurt Zone	dessert	medium
Farhady And Dadyan Llc	null	high
Farm+feed	null	medium
Farrar &amp Associates, Inc. Dba Arlington Kid To Kid	null	high
Farren Investments Group Inc	null	high
Farzad Food Group Llc	null	medium
Fast Fins	seafood-classic	medium
Fast Furious	null	medium
Fat Straws Bubble Tea Co.	tea-house	high
Fatboi's Feast And Goodeatz	null	low
Fatir Inc Dba Marble Slab Creamery	ice-cream	high
Favorite Food, Inc	null	high
Faye's Fusion	null	medium
Fazoli's	italian-classic	high
Fb Angels Share Llc	null	medium
Fcf Restaurants, Inc	null	high
Feastivities Gourmet to Go Market	null	medium
FedEx Ground Irving Super Terminal 0752	null	high
FedEx Office Print & Ship Center	null	high
Federal Express	null	high
Feel-in	null	high
Felipe Armenta's Restaurants Llc	null	medium
Fence Me In Inc	null	high
Fenjani Hookah Lounge	middle-eastern	medium
Festive Kitchen	null	medium
Fgc Dining Club Llc	null	high
Fhn Interests Llc	null	high
Fiber Milling Llc	null	high
Fiesta Grill	mexican	medium
Fiesta Restaurant Group Inc	null	medium
Fifth & Commerce	null	high
Figaro Cafe	cafe	medium
Filthy Animals	null	medium
Fine Mexican Food	mexican	high
Fire Oak Grill	null	medium
Firebird Restaurant Group, Llc.	null	medium
Firefly Grilling Co.	null	medium
Fireside Bbq & Grill	barbecue-classic	high
Fireside Pies	pizza-classic	medium
First Diversified Medical Consulting, Lp Dba Valence Laborat	null	high
First Momentum Enterprises Llc	null	high
First Watch, Llc	breakfast	high
Firstwatch	breakfast	medium
Fish N Tails Oyster Bar	oyster-bar	high
Fishmongers Seafood Market & Cafe Inc	seafood-classic	high
Fishtales Bar & Grill	seafood-classic	medium
Five Elements Mongolian Grill & Bar	chinese	medium
Five Tastes Llc	null	high
Fivee	null	high
Fivestone Business Consulting Llc	null	high
Five’s Asian Kitchen & Boba Tea Bar	pan-asian	high
Flames Seafood Grill & Bar	seafood-classic	high
Flamin Dragon Salsa	null	low
Flamin Rai’s	null	high
Flatbread Greenville Llc	pizza-classic	low
Flatrock Smokehouse	smokehouse	high
Flavor Hub	null	medium
Flavors Indian restaurant By Ganesha Ek sanskriti	indian	high
Fletch Technology, Llc	null	high
Flips Western Center, L.p	null	high
Florida Pop, Llc	null	medium
Flossie's	null	high
Flower Mound Pizza Lp	pizza-classic	high
Flower Mound- Rp Inc	null	high
Flying Fish - Plano, TX on North Preston Rd	seafood-classic	high
Fm Yousun Corporation	null	high
Fmf Services Inc	null	high
Fond	null	medium
Food Adventure Memories	null	high
Food Catering Inc	null	high
Food Court	null	high
Food Innovation Factory	null	high
Food Nation Cinco Cocinas Food Hall	food-hall	high
Food Of Dreams Llc	null	high
Food Trio Inc	null	high
Food Truck Connector - Dallas Food Trucks	food-truck	high
FoodBiz Tech Consultants	null	high
Foodies Lab Kitchen	null	medium
Foodistaan	indian	medium
Foodistaan (Frisco)	indian	medium
Fordscratchkitchen	null	medium
Forh Worth	null	high
Fork & Fire Plano Scratch Restaurant & Brunch	brunch	medium
Fornacci Pizza & More	pizza-classic	high
Forney ISD The Local	null	high
Fort Butcher	steakhouse	low
Fort Redemption	null	high
Fort Worth Food Works	null	medium
Fort Worth Nks Llc	null	high
Fort Worth Stockyards-Jessica	null	medium
Four Corners Brewi	brewery	medium
Four Leaf Ventures, Llc	null	high
Fox And Hound English Pub	pub	high
Fox and Hound Fort Worth - SW	pub	medium
Franchise Associates	null	high
Franchise Bar Management, Llc	null	medium
Frank's Taco Grill	tacos	high
Frankie's Sports Bar Grill	sports-bar	high
Frankie’s Bar & Kitchen	bar	medium
Fratello Pizza & Doner Kebab	pizza-classic	medium
Freckle’s Chicken	chicken	high
Fred's Downtown Philly Hulen Is Now	deli-sandwiches	medium
Fred's Texas Cafe	cafe	medium
Free Range Concepts Management Llc	null	high
Free Range Presents Dallas, Llc	null	high
Freedom Food Management Llc	null	high
Freeman Management	null	high
Freeman Trucking Herman	null	high
Freerange Employment, Llc.	null	high
Freestylez Kitchen	null	medium
Freida Kassam U.s. Inc Dba Country Burger	burgers	high
French Quarter Bistro	cajun-creole	medium
French's	null	low
Frenchie Preston Center	french	medium
Fresh Choice	null	low
Fresh Indian Food, Inc	indian	high
Fresh Innovations Llc	null	high
Fried Daze	null	low
Friendly's Restaurants Co, Llc.	ice-cream	medium
Friends Of Redbird Airport	null	high
Fries Restaurant Management Llc	null	medium
Frisco BBQ Catering	barbecue-classic	high
Frisco BaseCamp Restaurant & Bar | Best Nepali Restaurant in Frisco	indian	low
Frisco Hwcg Inc	null	high
Frito-lay Inc. (h Q)	null	medium
Fritzl's Austrian Grill	german	high
From Across The Pond	british	medium
Front Burner Catering, Llc	null	high
Frontier Grill	null	medium
Frosty Drive N	ice-cream	low
Fruit King	juice-smoothie	low
Fruta Xpress	juice-smoothie	medium
Frutería Trópicana y Restaurante	mexican	medium
Frutería,Neveria coco’s y restaurante	mexican	medium
Fs Adventure, Llc	null	high
Ft Worth	null	high
Fts Ohio Shop 2, Llc	null	high
Fts Ohio Shop 3, Llc	null	high
Fts Texas Shop 2, Llc	null	high
Fts Texas Shop 4, Llc	null	high
Fuelcon Management Llc	null	high
Fun Dezi Pizza Llc	pizza-classic	high
Funky Baja’s Cantina	mexican	medium
Funneled Through	null	high
Furlough Brothers Cheesesteaks (East Dallas)	deli-sandwiches	medium
Fye Sports Cards	null	high
G-theory Llc	null	high
GC Lines	null	high
Gad L.l.c	null	high
Gaga Dental Pllc	null	high
Galactic Dragon Inn	null	low
Gamesters Inc Dba Texas Sales	null	high
Gangnam Sushi House	sushi	high
Gao Zheng Company	null	low
Garita Artisan Bakery	bakery	high
Garland Road Thrift Stores	null	high
Garland Ventures	null	high
Gaskey's Sports Grill #1 Llc	sports-bar	medium
Gateway Subway 29	deli-sandwiches	medium
Gather Restaurant Llc	null	medium
Gazell Llc Dba / Tantuni Mediterranean Grill	turkish	medium
Gb Pizza Llc	pizza-classic	high
Gdh Enterprises, Inc	null	high
Gen 2214 Sdi Llc	null	high
Gen Carrollton Lp	korean	low
Gen Frisco Lp	korean	low
Gen-x Outdoor Solutions Llc	null	high
General Mills	null	high
Genghis Grill	pan-asian	medium
Gennie’s kitchen	null	medium
German Store Locator	null	low
Gfh Camping	null	high
Gfm Production	null	high
Gidi Bar & Grill	west-african	low
Gigi Global Inc	null	high
Gigi's Cupcakes Frisco	bakery	high
Gil Kim Enterprise Inc	null	high
Ginger's Dallas	null	medium
Ginghis Donuts & Lunch	donuts	high
Giovanni's Italian Restaurant	italian-classic	high
Gk Mount India Cafe Llc	indian	high
Gkd Restaurant Group Inc	null	high
Global Drg Management Inc	null	high
Global Peace Factory	null	high
Global Restaurant Group Llc	null	high
Gloria Jean Coffees	coffee	high
Gloria&#39 S The Rim Restaurant San Antonio Llc	latin-american	low
Gloria's Premium Tortilla Company	mexican	medium
Gloria's® Latin Cuisine	latin-american	high
Glorias Restaurant	latin-american	low
Gloton Texas	null	low
Gm System	null	high
Gnat Shooting Usa	null	high
Go Lounge	bar	low
Goat & Vine Restaurant + Winery	wine-bar	medium
Goat And Vine Restaurant + Winery- Fort Worth	wine-bar	medium
God's Country Cafe	cafe	low
Golconda Express Indian Kitchen	indian	high
Gold Luna Inc	null	low
Gold Package Llc	null	low
Gold Revolver	null	low
Golden Boy Coffee Co. Llc	coffee	high
Golden Chick Restaurant	chicken	high
Golden Corral 924, Grand prairie, TX	buffet	high
Golden Corral in North Richland Hills	buffet	high
Golden Grain Bakery	bakery	high
Golden Hot Pot	chinese	medium
Golden Rock	null	low
Golden Tree Restaurants	null	low
Goldie Chicken	chicken	high
Golf 2 Par	null	low
Golightlys Gallery Inc	null	low
Goloco 5	null	low
Good Eats Grill	null	low
Good Kitchen Dos Llc	null	low
Good Kitchen Uno Llc	null	low
Good Luck Drive In	fast-food	low
Good Vibes Only	null	low
Goodies Bar And Grill Ftw	bar	medium
Goodies On Commerce	null	low
Goodsurf	null	low
Goodwins	null	low
Gorditas y Tacos Tapatios El Aguilar	tacos	high
Gordo's Bbq & Grill	barbecue-classic	high
Gorilla Hut	null	low
Gorilla Nutz	null	low
Gospel 1 Inc	null	low
GourmEats	null	low
Gourmet Cuisine, Inc	null	low
Gourmet Cuisine, Inc.	null	low
Grace Kim Inc	null	low
Grace Trade Inc	null	low
Gran Machu Picchu	peruvian	high
Granada Market	null	low
Granbury Solutions	null	low
Grand Palace	chinese	low
Grand Prairie Marvel Dental Pllc	null	low
Grand Prairie, South Carrier Ltd	null	low
Granny's Cajun Cooking - Dallas	cajun-creole	high
Granny's Grill	null	low
Granola With Love	breakfast	low
Grapevine Restaurant Ventures Lp	null	low
Grapevine Tx Sdi Inc	null	low
Gravity Mixing	null	low
Greasebusters of Dfw	null	low
Great Outdoor Sub Shop	deli-sandwiches	high
Great Scott	null	low
